timestamp,district,grid_lat,grid_lon,seasonal_rain_mm,seasonal_rain_threshold_90,actual_rain_mm
2022-06-01 00:00:00,LAT12.5_LON75.75,12.5,75.75,1820.5034,2246.41,4.9877
2022-06-01 00:00:00,LAT12.5_LON76.0,12.5,76.0,1538.4977,2246.41,4.2151
2022-06-01 00:00:00,LAT12.5_LON76.25,12.5,76.25,1443.4318,2246.41,3.9546
2022-06-01 00:00:00,LAT12.5_LON76.5,12.5,76.5,1455.7219,2246.41,3.9883
2022-06-01 00:00:00,LAT12.5_LON76.75,12.5,76.75,1723.7913,2246.41,4.7227
2022-06-01 00:00:00,LAT12.5_LON77.0,12.5,77.0,1681.0886,2246.41,4.6057
2022-06-01 00:00:00,LAT12.5_LON77.25,12.5,77.25,1385.6044,2246.41,3.7962
2022-06-01 00:00:00,LAT12.5_LON77.5,12.5,77.5,1290.9026,2246.41,3.5367
2022-06-01 00:00:00,LAT12.5_LON77.75,12.5,77.75,1253.0701,2246.41,3.4331
2022-06-01 00:00:00,LAT12.5_LON78.0,12.5,78.0,1288.1942,2246.41,3.5293
2022-06-01 00:00:00,LAT12.5_LON78.25,12.5,78.25,1349.613,2246.41,3.6976
2022-06-01 00:00:00,LAT12.5_LON78.5,12.5,78.5,1188.2227,2246.41,3.2554
2022-06-01 00:00:00,LAT12.5_LON78.75,12.5,78.75,1141.6108,2246.41,3.1277
2022-06-01 00:00:00,LAT12.5_LON79.0,12.5,79.0,1163.8262,2246.41,3.1886
2022-06-01 00:00:00,LAT12.5_LON79.25,12.5,79.25,1149.9268,2246.41,3.1505
2022-06-01 00:00:00,LAT12.5_LON79.5,12.5,79.5,1159.0773,2246.41,3.1756
2022-06-01 00:00:00,LAT12.5_LON79.75,12.5,79.75,1254.6785,2246.41,3.4375
2022-06-01 00:00:00,LAT12.5_LON80.0,12.5,80.0,1465.5493,2246.41,4.0152
2022-06-01 00:00:00,LAT12.75_LON74.75,12.75,74.75,4464.472,2246.41,12.2314
2022-06-01 00:00:00,LAT12.75_LON75.0,12.75,75.0,4054.3115,2246.41,11.1077
2022-06-01 00:00:00,LAT12.75_LON75.25,12.75,75.25,3590.1277,2246.41,9.836
2022-06-01 00:00:00,LAT12.75_LON75.5,12.75,75.5,3009.3384,2246.41,8.2448
2022-06-01 00:00:00,LAT12.75_LON75.75,12.75,75.75,2141.9995,2246.41,5.8685
2022-06-01 00:00:00,LAT12.75_LON76.0,12.75,76.0,1636.8239,2246.41,4.4844
2022-06-01 00:00:00,LAT12.75_LON76.25,12.75,76.25,1495.747,2246.41,4.0979
2022-06-01 00:00:00,LAT12.75_LON76.5,12.75,76.5,1943.376,2246.41,5.3243
2022-06-01 00:00:00,LAT12.75_LON76.75,12.75,76.75,2447.828,2246.41,6.7064
2022-06-01 00:00:00,LAT12.75_LON77.0,12.75,77.0,1744.0483,2246.41,4.7782
2022-06-01 00:00:00,LAT12.75_LON77.25,12.75,77.25,1716.5516,2246.41,4.7029
2022-06-01 00:00:00,LAT12.75_LON77.5,12.75,77.5,1397.9535,2246.41,3.83
2022-06-01 00:00:00,LAT12.75_LON77.75,12.75,77.75,1549.9861,2246.41,4.2465
2022-06-01 00:00:00,LAT12.75_LON78.0,12.75,78.0,1417.774,2246.41,3.8843
2022-06-01 00:00:00,LAT12.75_LON78.25,12.75,78.25,1309.3978,2246.41,3.5874
2022-06-01 00:00:00,LAT12.75_LON78.5,12.75,78.5,1077.492,2246.41,2.952
2022-06-01 00:00:00,LAT12.75_LON78.75,12.75,78.75,1028.3301,2246.41,2.8173
2022-06-01 00:00:00,LAT12.75_LON79.0,12.75,79.0,1274.8362,2246.41,3.4927
2022-06-01 00:00:00,LAT12.75_LON79.25,12.75,79.25,1381.7052,2246.41,3.7855
2022-06-01 00:00:00,LAT12.75_LON79.5,12.75,79.5,1625.0496,2246.41,4.4522
2022-06-01 00:00:00,LAT12.75_LON79.75,12.75,79.75,1308.373,2246.41,3.5846
2022-06-01 00:00:00,LAT12.75_LON80.0,12.75,80.0,992.4519,2246.41,2.719
2022-06-01 00:00:00,LAT13.0_LON74.75,13.0,74.75,3996.1145,2246.41,10.9483
2022-06-01 00:00:00,LAT13.0_LON75.0,13.0,75.0,4060.8457,2246.41,11.1256
2022-06-01 00:00:00,LAT13.0_LON75.25,13.0,75.25,4573.686,2246.41,12.5306
